IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UV_1,UV radiation,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2004,true,,,,,,,,,,,,,5567,,,,,,"5,567",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,SYC,Seychelles,Year,2004,true,,,,,,,,,,,,,5570,,,,,,"5,570",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,MLI,Mali,Year,2004,true,,,,,,,,,,,,,5617,,,,,,"5,617",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2004,true,,,,,,,,,,,,,5637,,,,,,"5,637",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,TCD,Chad,Year,2004,true,,,,,,,,,,,,,5669,,,,,,"5,669",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2004,true,,,,,,,,,,,,,5773,,,,,,"5,773",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2004,true,,,,,,,,,,,,,5783,,,,,,"5,783",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,BRB,Barbados,Year,2004,true,,,,,,,,,,,,,5787,,,,,,"5,787",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,KEN,Kenya,Year,2004,true,,,,,,,,,,,,,5803,,,,,,"5,803",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,NER,Niger,Year,2004,true,,,,,,,,,,,,,5811,,,,,,"5,811",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,PER,Peru,Year,2004,true,,,,,,,,,,,,,5906,,,,,,"5,906",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2004,true,,,,,,,,,,,,,5914,,,,,,"5,914",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2004,true,,,,,,,,,,,,,5929,,,,,,"5,929",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2004,true,,,,,,,,,,,,,6089,,,,,,"6,089",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2004,true,,,,,,,,,,,,,6229,,,,,,"6,229",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,ISL,Iceland,Year,2004,true,,,,,,,,,,,,,957,,,,,,957,,,EN,2013-06-10T22:00:00.000Z
