IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2016,true,,,,,,,,,,,,,7.42,,,,,,7.42,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,GHA,Ghana,Year,2016,true,,,,,,,,,,,,,7.73,,,,,,7.73,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2016,true,,,,,,,,,,,,,75.13,,,,,,75.13,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,SYC,Seychelles,Year,2016,true,,,,,,,,,,,,,8.53,,,,,,8.53,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2016,true,,,,,,,,,,,,,8.88,,,,,,8.88,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,CUB,Cuba,Year,2016,true,,,,,,,,,,,,,8.9,,,,,,8.9,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016,true,,,,,,,,,,,,,83.54,,,,,,83.54,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2016,true,,,,,,,,,,,,,83.81,,,,,,83.81,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,true,,,,,,,,,,,,,9.21,,,,,,9.21,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2016,true,,,,,,,,,,,,,9.93,,,,,,9.93,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2015,true,,,,,,,,,,,,,0.36,,,,,,0.36,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,JAM,Jamaica,Year,2015,true,,,,,,,,,,,,,10.27,,,,,,10.27,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2015,true,,,,,,,,,,,,,14.83,,,,,,14.83,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2015,true,,,,,,,,,,,,,2.67,,,,,,2.67,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,ESP,Spain,Year,2015,true,,,,,,,,,,,,,2.87,,,,,,2.87,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2015,true,,,,,,,,,,,,,22.14,,,,,,22.14,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,LVA,Latvia,Year,2015,true,,,,,,,,,,,,,22.83,,,,,,22.83,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,ITA,Italy,Year,2015,true,,,,,,,,,,,,,23.49,,,,,,23.49,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2015,true,,,,,,,,,,,,,3,,,,,,3,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2015,true,,,,,,,,,,,,,3.14,,,,,,3.14,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,CZE,Czechia,Year,2015,true,,,,,,,,,,,,,30.35,,,,,,30.35,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,CYP,Cyprus,Year,2015,true,,,,,,,,,,,,,34.97,,,,,,34.97,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2015,true,,,,,,,,,,,,,5.42,,,,,,5.42,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,BRB,Barbados,Year,2015,true,,,,,,,,,,,,,63.33,,,,,,63.33,,,EN,2019-04-24T22:00:00.000Z
MH_7,"Nurses working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2015,true,,,,,,,,,,,,,90.58,,,,,,90.58,,,EN,2019-04-24T22:00:00.000Z
