Location,Age-standardized suicide rates (per 100 000 population),Mean BMI (kg/m²) (age-standardized estimate),UV radiation,"Nurses working in mental health sector (per 100,000)",Adolescent birth rate (per 1000 women aged 15-19 years),"13-15-years old any alcoholic beverage consumed in past 30 days, (%)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",Estimate of daily tobacco use prevalence (%),Government expenditures on mental health as a percentage of total government expenditures on health (%),"Psychiatrists working in mental health sector (per 100,000)","Mental hospital admissions (per 100,000)",Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),"Social workers working in mental health sector (per 100,000)",Proportion of women aged 20-24 years who were married or in a union by age 15 (%)
Burundi,12.606666666666667,21.65,5.111,0.049,58.2,,7.2,9.3,0.34,0.01,1.13,27.169999999999998,21.1,0.069,3.0
Cabo Verde,16.473333333333333,24.5,5.372,,12.0,,5.6,,,,,28.143333333333334,24.8,,3.0
Cambodia,5.713333333333334,22.15,5.152,0.28,,,6.6,16.4,,0.39,0.0,58.776666666666664,22.4,,2.0
Cameroon,16.62,24.3,5.185,,122.2,,5.7,6.5,0.26,,,71.83333333333333,17.9,,10.0
Canada,11.07,26.9,1.887,68.66,8.5,,8.9,11.6,7.2,14.68,,14.796666666666667,15.7,145.4,
Central African Republic,25.763333333333332,22.85,5.498,0.022,,,2.4,,,0.022,,53.47,24.2,0.022,29.0
Chad,13.806666666666667,21.9,5.669,0.021,,,1.4,8.7,,0.007,,56.910000000000004,24.2,0.007,30.0
Chile,8.913333333333334,27.95,3.982,1.88,33.46666666666667,,9.1,31.1,2.78,6.97,27.78,34.19,19.2,,
China,6.986666666666667,23.75,2.908,5.42,9.2,,7.1,23.4,,2.2,85.95,35.68333333333333,18.6,,
Colombia,4.216666666666667,26.15,5.385,0.0,62.63333333333333,,5.7,5.5,,1.84,55.61,15.456666666666665,16.4,,5.0
Comoros,8.700000000000001,24.4,5.524,0.39,,,0.7,16.9,,0.13,,73.35333333333334,21.9,,10.0
Congo,12.213333333333333,23.15,4.943,0.5,,,9.3,11.2,,0.08,,42.526666666666664,19.2,0.02,7.0
Costa Rica,6.496666666666667,27.3,4.884,5.7,53.86666666666667,,4.9,6.6,2.91,3.93,,22.02,16.1,76.96,7.0
Croatia,11.5,27.35,1.976,41.86,9.433333333333332,,9.2,27.1,,11.1,771.3,10.96,37.6,1.3,
Cuba,10.206666666666665,25.6,4.401,8.9,50.9,,5.8,20.8,,9.06,243.9,10.13,21.9,1.33,5.0
Cyprus,3.8666666666666667,26.8,3.439,34.97,4.433333333333334,,10.8,29.7,4.82,,35.56,45.45333333333334,18.8,0.0,
Czechia,10.676666666666668,27.05,1.707,30.35,11.833333333333334,,14.5,22.5,2.91,12.36,369.1,14.886666666666665,29.3,1.21,
Côte d’Ivoire,17.026666666666667,23.75,4.931,0.38,123.3,,2.7,10.9,,0.13,5.91,40.79333333333333,19.7,,7.0
Democratic People's Republic of Korea,9.12,24.05,2.335,,1.0,,3.8,13.0,,,,,18.8,,
Democratic Republic of the Congo,12.133333333333333,21.95,5.1,,109.0,,2.0,,,,,38.196666666666665,20.5,,10.0
